Game,Ncomments,Ndiscomfort,Pdiscomfort,name
Battlefield 3: Close Quarters,39,0.0,0.0,battlefield3closequarters
Battlefield 3: End Game,22,0.0,0.0,battlefield3endgame
Battlefield 4,1078,12.0,0.0111317254174397,battlefield4
Battlefield Hardline,210,2.0,0.0095238095238095,battlefieldhardline
Battlefield Heroes,38,0.0,0.0,battlefieldheroes
Battlefield V,1034,4.0,0.0038684719535783,battlefieldv
Battlefield Vietnam,76,0.0,0.0,battlefieldvietnam
Battlefield: Bad Company 2,442,4.0,0.0090497737556561,battlefieldbadcompany2
Battlefield: Bad Company 2 Vietnam,69,0.0,0.0,battlefieldbadcompany2vietnam
Battlefield: Play4Free,115,0.0,0.0,battlefieldplay4free
